Fecha;País;Marca;Cliente;Ingresos;Gastos
5/02/2020;Perú;NexTec;Sector público;599248,44;$483865,2
6/02/2020;Chile;Innovatech;Instituciones educativas;59847,12;$39898,08
8/02/2020;Chile;NexTec;Consumidores finales;309099,32;$292239,36
8/02/2020;Argentina;NexTec;Sector público;1043280,00;$807300
8/02/2020;Uruguay;NeuroNet;Sector público;617678,27;$498746,43
8/02/2020;México;NeuroNet;Pequeñas y medianas empresas;611914,50;$586125
8/02/2020;Chile;NeuroNet;Grandes clientes;24942,06;$19691,1
9/02/2020;Uruguay;Cybernova;Instituciones educativas;42725,08;$32739,525
9/02/2020;México;NexTec;Grandes clientes;12046,71;$9219,42
10/02/2020;Perú;NexTec;Sector público;22620,96;$12294
11/02/2020;Argentina;NeuroNet;Instituciones educativas;14612,40;$9741,6
11/02/2020;Perú;NexTec;Sector público;1198127,70;$988930,8
12/02/2020;México;NexTec;Instituciones educativas;29590,11;$19926
12/02/2020;Uruguay;Cybernova;Grandes clientes;21955,75;$18095,4
13/02/2020;Uruguay;OmegaTech;Consumidores finales;730620,00;$607875,84
13/02/2020;Uruguay;OmegaTech;Pequeñas y medianas empresas;289564,85;$262287
14/02/2020;Uruguay;Cybernova;Consumidores finales;224120,77;$188352
14/02/2020;Argentina;NexTec;Sector público;15864,97;$13025,43
15/02/2020;Argentina;OmegaTech;Sector público;85249,89;$43494,84
15/02/2020;Uruguay;Cybernova;Grandes clientes;25468,67;$20990,664
16/02/2020;México;Cybernova;Sector público;1828,81;$1319,49
16/02/2020;Uruguay;Cybernova;Sector público;53048,63;$43553,88
16/02/2020;Argentina;OmegaTech;Grandes clientes;21266,39;$16110,9
17/02/2020;Chile;NexTec;Sector público;3038,73;$2359,26
17/02/2020;Uruguay;Cybernova;Sector público;116626,44;$66265,02
17/02/2020;Uruguay;Cybernova;Pequeñas y medianas empresas;431040,77;$386237,25
20/02/2020;Perú;NexTec;Instituciones educativas;3227,58;$2502
20/02/2020;México;NeuroNet;Sector público;94639,64;$54390,6
20/02/2020;México;Innovatech;Pequeñas y medianas empresas;185992,20;$180225
20/02/2020;Uruguay;NexTec;Grandes clientes;124228,74;$94112,685
21/02/2020;Argentina;NexTec;Pequeñas y medianas empresas;254191,50;$222975
24/02/2020;Perú;NeuroNet;Instituciones educativas;14111,60;$9902,88
24/02/2020;Chile;NexTec;Instituciones educativas;12503,29;$9365,76
24/02/2020;Perú;Cybernova;Grandes clientes;8190,07;$6204,6
25/02/2020;México;OmegaTech;Consumidores finales;502678,21;$326898
26/02/2020;Argentina;Innovatech;Sector público;15937,74;$8757
28/02/2020;Chile;NexTec;Pequeñas y medianas empresas;765021,35;$685503
28/02/2020;Argentina;OmegaTech;Grandes clientes;9849,60;$7387,2
2/03/2020;Uruguay;NexTec;Sector público;118913,76;$63252
3/03/2020;Chile;NexTec;Sector público;1153115,55;$941318,82
4/03/2020;México;Cybernova;Consumidores finales;84214,04;$71496
5/03/2020;Chile;NexTec;Instituciones educativas;43015,05;$33345
6/03/2020;Chile;Innovatech;Grandes clientes;83555,22;$66666,402
8/03/2020;Perú;Cybernova;Sector público;15110,55;$11992,5
10/03/2020;Perú;Innovatech;Sector público;47050,11;$25295,76
11/03/2020;México;NeuroNet;Sector público;8871,16;$6741
12/03/2020;México;Cybernova;Instituciones educativas;35794,58;$25119
12/03/2020;México;Cybernova;Sector público;2629074,42;$1992884,4
12/03/2020;Chile;Innovatech;Pequeñas y medianas empresas;206193,60;$199800
12/03/2020;México;NexTec;Pequeñas y medianas empresas;125307,00;$122850
13/03/2020;Chile;OmegaTech;Sector público;15157,30;$12303
14/03/2020;Chile;OmegaTech;Consumidores finales;44783,65;$37260
16/03/2020;Chile;Cybernova;Consumidores finales;409388,91;$391507,56
17/03/2020;Chile;NeuroNet;Sector público;635040,00;$524160
18/03/2020;Perú;NexTec;Consumidores finales;99517,07;$87156
18/03/2020;Argentina;NexTec;Pequeñas y medianas empresas;776506,50;$653625
18/03/2020;Uruguay;Cybernova;Pequeñas y medianas empresas;605254,68;$560421
19/03/2020;Perú;Cybernova;Sector público;6253,56;$4908,6
20/03/2020;Argentina;Cybernova;Consumidores finales;400033,95;$354072,6
21/03/2020;Uruguay;Cybernova;Consumidores finales;1757892,32;$1507800,42
22/03/2020;Argentina;NexTec;Instituciones educativas;8042,76;$6093
22/03/2020;Argentina;OmegaTech;Consumidores finales;93426,49;$78516
22/03/2020;Uruguay;Cybernova;Grandes clientes;68963,40;$60142,5
23/03/2020;Perú;OmegaTech;Instituciones educativas;103661,98;$71245,35
23/03/2020;Chile;OmegaTech;Sector público;172695,60;$145782
24/03/2020;Chile;OmegaTech;Sector público;367479,00;$287352
26/03/2020;Argentina;OmegaTech;Grandes clientes;18715,32;$16321,5
31/03/2020;Argentina;NeuroNet;Sector público;655735,50;$541242
31/03/2020;Perú;NeuroNet;Sector público;1517,04;$1260
31/03/2020;Argentina;NeuroNet;Sector público;119750,40;$101088
31/03/2020;Argentina;NexTec;Pequeñas y medianas empresas;618178,18;$559944
1/04/2020;Argentina;NexTec;Sector público;12718,08;$6624
1/04/2020;México;Cybernova;Sector público;16093,67;$12100,5
1/04/2020;Uruguay;NeuroNet;Grandes clientes;13145,54;$10834,236
2/04/2020;Perú;NeuroNet;Instituciones educativas;27137,70;$19044
2/04/2020;Perú;Cybernova;Sector público;2063,88;$1620
3/04/2020;Chile;NexTec;Sector público;1489,57;$1156,5
3/04/2020;Chile;OmegaTech;Sector público;19559,34;$11241
3/04/2020;Uruguay;Cybernova;Grandes clientes;73205,66;$61690,167
4/04/2020;Uruguay;Cybernova;Sector público;442965,60;$350064
5/04/2020;Perú;NexTec;Sector público;22620,96;$12294
6/04/2020;Argentina;Cybernova;Grandes clientes;14581,56;$11391,84
7/04/2020;Chile;OmegaTech;Consumidores finales;223370,48;$191592
7/04/2020;Chile;Cybernova;Pequeñas y medianas empresas;932062,95;$853537,5
7/04/2020;Chile;OmegaTech;Pequeñas y medianas empresas;675638,06;$611991
8/04/2020;Argentina;NexTec;Instituciones educativas;8696,16;$6039
8/04/2020;Chile;NeuroNet;Grandes clientes;18922,90;$15260,4
10/04/2020;México;Cybernova;Pequeñas y medianas empresas;318622,68;$288607,5
10/04/2020;Chile;OmegaTech;Grandes clientes;95528,09;$75416,913
11/04/2020;Chile;NexTec;Sector público;165186,00;$129168
12/04/2020;Argentina;Cybernova;Instituciones educativas;8696,16;$6039
13/04/2020;Argentina;OmegaTech;Consumidores finales;234934,27;$217183,68
15/04/2020;México;Innovatech;Sector público;9596,16;$4896
16/04/2020;Argentina;NeuroNet;Instituciones educativas;97032,13;$66008,25
16/04/2020;México;OmegaTech;Sector público;30701,16;$16506
17/04/2020;Uruguay;Cybernova;Sector público;672036,75;$504270
18/04/2020;Uruguay;NexTec;Sector público;30513,62;$22942,575
19/04/2020;Perú;NexTec;Sector público;30990,72;$16842,78
19/04/2020;Argentina;Innovatech;Pequeñas y medianas empresas;2003146,20;$1686150
20/04/2020;Chile;Innovatech;Instituciones educativas;29364,53;$23031
20/04/2020;Chile;Innovatech;Sector público;23751,90;$12501
21/04/2020;Uruguay;NeuroNet;Pequeñas y medianas empresas;242902,80;$206550
22/04/2020;Argentina;NexTec;Sector público;7114,34;$5841
24/04/2020;Chile;Innovatech;Instituciones educativas;25492,32;$17703
24/04/2020;Perú;Cybernova;Consumidores finales;241328,21;$225601,2
26/04/2020;Uruguay;Cybernova;Instituciones educativas;15826,83;$11345,4
26/04/2020;Uruguay;Cybernova;Grandes clientes;19914,88;$15398,1
27/04/2020;Argentina;Cybernova;Instituciones educativas;20234,61;$13626
27/04/2020;Uruguay;NeuroNet;Instituciones educativas;46029,06;$34870,5
28/04/2020;Uruguay;Innovatech;Consumidores finales;282005,91;$263628
29/04/2020;Argentina;NeuroNet;Consumidores finales;937440,00;$779950,08
29/04/2020;Uruguay;NeuroNet;Sector público;43931,16;$24138
29/04/2020;Chile;Innovatech;Sector público;119153,97;$59576,985
29/04/2020;Perú;OmegaTech;Sector público;23988,60;$18624,69
29/04/2020;Argentina;NeuroNet;Grandes clientes;11143,20;$9286,002
30/04/2020;México;Cybernova;Consumidores finales;69897,65;$59341,68
2/05/2020;México;NexTec;Grandes clientes;11473,06;$8780,4
3/05/2020;Chile;NexTec;Consumidores finales;349462,43;$290752,74
3/05/2020;Perú;NexTec;Sector público;17717,40;$10422
3/05/2020;Perú;Cybernova;Pequeñas y medianas empresas;1010671,99;$957075,75
3/05/2020;Argentina;Cybernova;Grandes clientes;27643,90;$22056,3
3/05/2020;Uruguay;OmegaTech;Grandes clientes;74058,36;$56677,32
4/05/2020;México;NeuroNet;Consumidores finales;246281,54;$232848
5/05/2020;México;NexTec;Instituciones educativas;2618,55;$1918,35
5/05/2020;Chile;NexTec;Consumidores finales;116162,31;$102816
5/05/2020;Uruguay;Cybernova;Sector público;47684,17;$35852,76
5/05/2020;México;Cybernova;Sector público;734718,60;$620217
6/05/2020;Perú;OmegaTech;Instituciones educativas;79627,21;$56473,2
6/05/2020;Perú;OmegaTech;Consumidores finales;1131233,27;$1012028,04
6/05/2020;Uruguay;NexTec;Sector público;68856,48;$34776
7/05/2020;Perú;NeuroNet;Pequeñas y medianas empresas;320625,00;$281250
7/05/2020;Uruguay;Innovatech;Pequeñas y medianas empresas;547649,10;$490725
8/05/2020;México;OmegaTech;Instituciones educativas;34218,29;$23762,7
8/05/2020;Perú;Innovatech;Sector público;13962,56;$10840,5
8/05/2020;México;NeuroNet;Pequeñas y medianas empresas;132046,20;$111150
8/05/2020;Chile;OmegaTech;Pequeñas y medianas empresas;318697,20;$288675
8/05/2020;México;NeuroNet;Grandes clientes;7302,96;$5589
9/05/2020;Argentina;NexTec;Grandes clientes;2026,04;$1688,364
10/05/2020;Argentina;Innovatech;Instituciones educativas;74674,13;$57886,92
11/05/2020;Perú;Cybernova;Grandes clientes;16686,00;$12514,5
11/05/2020;Uruguay;Innovatech;Grandes clientes;46674,38;$35720,19
12/05/2020;México;Cybernova;Sector público;19530,72;$11097
12/05/2020;Uruguay;Innovatech;Grandes clientes;8978,69;$7014,6
13/05/2020;México;Innovatech;Sector público;27165,60;$15435
14/05/2020;Argentina;NexTec;Consumidores finales;317488,85;$307152
15/05/2020;Argentina;NeuroNet;Pequeñas y medianas empresas;234522,00;$227250
16/05/2020;Uruguay;NexTec;Sector público;14884,70;$11191,5
17/05/2020;Argentina;Cybernova;Sector público;27624,24;$14094
18/05/2020;Uruguay;Cybernova;Sector público;19590,27;$11523,69
18/05/2020;Perú;NexTec;Grandes clientes;30650,40;$22987,8
19/05/2020;Chile;OmegaTech;Instituciones educativas;18959,13;$14697
19/05/2020;Uruguay;NeuroNet;Consumidores finales;294111,78;$257580
19/05/2020;México;NexTec;Pequeñas y medianas empresas;446387,22;$404336,25
20/05/2020;México;OmegaTech;Sector público;3434,93;$2696,175
22/05/2020;Uruguay;NeuroNet;Sector público;804334,86;$663895,44
23/05/2020;Perú;Innovatech;Pequeñas y medianas empresas;281985,30;$252675
24/05/2020;Perú;NeuroNet;Sector público;12450,38;$9562,5
24/05/2020;Uruguay;Cybernova;Sector público;467410,61;$361686,78
24/05/2020;México;Innovatech;Grandes clientes;27050,76;$22052,25
25/05/2020;Perú;Innovatech;Grandes clientes;29074,76;$22026,33
26/05/2020;Argentina;Cybernova;Sector público;180148,50;$140868
26/05/2020;Argentina;NexTec;Grandes clientes;3751,92;$3126,6
26/05/2020;Uruguay;OmegaTech;Grandes clientes;26023,46;$20544,84
27/05/2020;México;NeuroNet;Sector público;501713,10;$384228
29/05/2020;Uruguay;Cybernova;Sector público;29728,44;$15813
30/05/2020;México;Innovatech;Grandes clientes;13662,00;$11137,5
31/05/2020;Uruguay;Cybernova;Instituciones educativas;7411,50;$4941
31/05/2020;Argentina;OmegaTech;Grandes clientes;54829,43;$41537,448
31/05/2020;Perú;NexTec;Grandes clientes;4083,18;$3440,88
1/06/2020;Uruguay;NeuroNet;Sector público;44936,10;$25245
2/06/2020;Argentina;Innovatech;Instituciones educativas;150747,08;$115515
2/06/2020;México;OmegaTech;Sector público;958797,00;$749736
2/06/2020;Perú;Cybernova;Pequeñas y medianas empresas;180449,10;$155025
3/06/2020;Perú;Innovatech;Instituciones educativas;20398,73;$14781,69
3/06/2020;Argentina;Innovatech;Sector público;3206,76;$2411,1
4/06/2020;Uruguay;OmegaTech;Instituciones educativas;114545,34;$84848,4
4/06/2020;México;NexTec;Sector público;14335,20;$8145
5/06/2020;Chile;Cybernova;Sector público;36142,42;$26076,78
8/06/2020;Uruguay;NeuroNet;Consumidores finales;282005,91;$263628
9/06/2020;México;OmegaTech;Sector público;11279,02;$8757
9/06/2020;Uruguay;NexTec;Sector público;40997,59;$21577,68
9/06/2020;México;NexTec;Pequeñas y medianas empresas;157734,00;$142875
10/06/2020;Argentina;Cybernova;Grandes clientes;30757,71;$25349,76
11/06/2020;México;OmegaTech;Pequeñas y medianas empresas;1471537,94;$1290822,75
12/06/2020;México;Cybernova;Sector público;2492773,92;$1928932,2
12/06/2020;Chile;OmegaTech;Grandes clientes;24942,06;$19691,1
12/06/2020;México;Cybernova;Grandes clientes;3852,36;$3321
13/06/2020;Uruguay;Cybernova;Instituciones educativas;15267,69;$10178,46
14/06/2020;Chile;NexTec;Instituciones educativas;28676,70;$22230
14/06/2020;Chile;NeuroNet;Consumidores finales;6064,62;$2628
15/06/2020;Chile;Cybernova;Consumidores finales;198586,30;$177660
16/06/2020;México;NexTec;Sector público;51410,62;$37857,6
16/06/2020;Uruguay;NeuroNet;Grandes clientes;19331,68;$15932,7
18/06/2020;Perú;Innovatech;Grandes clientes;48670,71;$40113,225
19/06/2020;Argentina;NexTec;Grandes clientes;12086,93;$9250,2
21/06/2020;Chile;NexTec;Sector público;9268,94;$7119
21/06/2020;México;OmegaTech;Sector público;331808,40;$280098
21/06/2020;Argentina;Cybernova;Sector público;16232,33;$13482
21/06/2020;Perú;NexTec;Pequeñas y medianas empresas;481852,80;$418275
22/06/2020;Uruguay;NeuroNet;Pequeñas y medianas empresas;430680,89;$390109,5
23/06/2020;Chile;Cybernova;Sector público;2102,18;$1746
24/06/2020;Perú;OmegaTech;Sector público;24251,04;$13779
26/06/2020;Argentina;Innovatech;Sector público;30639,61;$23037,3
28/06/2020;Uruguay;Innovatech;Instituciones educativas;84489,78;$61224,48
28/06/2020;Perú;Innovatech;Sector público;6346,62;$4927,5
28/06/2020;Chile;NeuroNet;Sector público;138299,81;$114152,22
29/06/2020;Perú;NexTec;Consumidores finales;156170,47;$133952,4
29/06/2020;Argentina;Cybernova;Pequeñas y medianas empresas;2224376,15;$2155403,25
29/06/2020;Chile;NexTec;Grandes clientes;13706,28;$10489,5
30/06/2020;Argentina;OmegaTech;Pequeñas y medianas empresas;557442,00;$516150
1/07/2020;México;NeuroNet;Grandes clientes;25290,14;$21554,1
2/07/2020;México;NexTec;Sector público;10755,36;$7920
3/07/2020;Chile;NeuroNet;Consumidores finales;94454,57;$80190
3/07/2020;Perú;OmegaTech;Consumidores finales;665556,62;$651462,48
3/07/2020;Argentina;NeuroNet;Grandes clientes;20396,77;$15770,7
4/07/2020;Uruguay;NexTec;Sector público;113056,48;$59503,41
5/07/2020;México;Cybernova;Grandes clientes;19465,88;$16780,932
6/07/2020;Argentina;NexTec;Consumidores finales;402527,16;$372114
6/07/2020;Argentina;NeuroNet;Sector público;114655,94;$61642,98
7/07/2020;Chile;Innovatech;Instituciones educativas;76054,12;$59650,29
7/07/2020;México;OmegaTech;Sector público;2986,89;$2344,5
8/07/2020;Perú;NexTec;Consumidores finales;60905,77;$59616
8/07/2020;Perú;OmegaTech;Sector público;6936,62;$5215,5
8/07/2020;México;OmegaTech;Sector público;1906437,71;$1539359,64
8/07/2020;Perú;Cybernova;Pequeñas y medianas empresas;263557,80;$221850
9/07/2020;Uruguay;Cybernova;Sector público;2557166,98;$2020861,44
9/07/2020;Argentina;NeuroNet;Grandes clientes;3751,92;$3126,6
10/07/2020;México;OmegaTech;Instituciones educativas;32284,98;$23652
10/07/2020;Perú;Cybernova;Consumidores finales;1079959,81;$916863,84
10/07/2020;Uruguay;NeuroNet;Consumidores finales;28282,40;$12379,5
10/07/2020;Chile;Cybernova;Sector público;27588,56;$20527,2
11/07/2020;Argentina;NeuroNet;Pequeñas y medianas empresas;292832,82;$262395
12/07/2020;México;NeuroNet;Consumidores finales;774947,25;$657914,4
12/07/2020;Uruguay;Innovatech;Sector público;71210,74;$36332,01
12/07/2020;Perú;NexTec;Pequeñas y medianas empresas;2192430,24;$1903151,25
13/07/2020;Perú;OmegaTech;Sector público;5309,71;$2949,84
14/07/2020;Argentina;Cybernova;Sector público;27624,24;$14094
15/07/2020;Uruguay;NexTec;Consumidores finales;101137,07;$84996
15/07/2020;Argentina;NexTec;Consumidores finales;18200,05;$11380,5
15/07/2020;México;NeuroNet;Pequeñas y medianas empresas;899974,80;$749979
15/07/2020;México;NexTec;Pequeñas y medianas empresas;208009,62;$203931
16/07/2020;Chile;Innovatech;Instituciones educativas;84114,45;$65205
16/07/2020;Chile;Cybernova;Instituciones educativas;43710,26;$33883,92
16/07/2020;Uruguay;OmegaTech;Pequeñas y medianas empresas;95882,40;$86850
17/07/2020;Argentina;NexTec;Instituciones educativas;31654,02;$21981,96
17/07/2020;Uruguay;Cybernova;Sector público;658324,80;$509418
18/07/2020;Argentina;OmegaTech;Consumidores finales;186455,77;$172368
18/07/2020;México;NeuroNet;Consumidores finales;10852,96;$6718,5
19/07/2020;Chile;NeuroNet;Instituciones educativas;64486,75;$46227,06
21/07/2020;Uruguay;Cybernova;Instituciones educativas;63804,51;$42536,34
21/07/2020;Perú;NeuroNet;Sector público;222037,20;$185328
24/07/2020;Uruguay;Innovatech;Grandes clientes;33490,51;$26164,458
25/07/2020;Chile;Innovatech;Consumidores finales;347160,29;$294732
25/07/2020;Chile;NeuroNet;Consumidores finales;220622,74;$185412,24
25/07/2020;Perú;Cybernova;Consumidores finales;263373,32;$257796
25/07/2020;Perú;Cybernova;Sector público;10867,10;$6245,46
25/07/2020;México;Cybernova;Grandes clientes;15900,33;$12552,894
27/07/2020;Argentina;Innovatech;Pequeñas y medianas empresas;756345,60;$656550
28/07/2020;Uruguay;NexTec;Consumidores finales;162050,63;$138996
29/07/2020;Uruguay;NexTec;Sector público;490549,50;$418860
29/07/2020;Chile;Cybernova;Grandes clientes;29665,03;$25282,692
30/07/2020;Perú;Cybernova;Sector público;432306,00;$341640
1/08/2020;Uruguay;OmegaTech;Sector público;1587,47;$1318,5
2/08/2020;México;OmegaTech;Grandes clientes;5705,42;$4552,2
2/08/2020;Chile;OmegaTech;Grandes clientes;64814,14;$55239,327
4/08/2020;Chile;Cybernova;Sector público;84031,79;$45178,38
5/08/2020;Uruguay;Cybernova;Instituciones educativas;26378,06;$18909
5/08/2020;Uruguay;Cybernova;Sector público;664448,40;$525096
6/08/2020;México;NexTec;Consumidores finales;106703,49;$97557,48
6/08/2020;México;Cybernova;Sector público;386694,00;$326430
6/08/2020;México;Cybernova;Sector público;63409,04;$47675,97
6/08/2020;México;NeuroNet;Grandes clientes;6853,06;$5648,13
7/08/2020;Argentina;OmegaTech;Consumidores finales;269000,48;$263304
8/08/2020;Uruguay;Cybernova;Instituciones educativas;22459,81;$16454,07
8/08/2020;Uruguay;NexTec;Pequeñas y medianas empresas;195230,57;$173076,75
9/08/2020;Argentina;Innovatech;Sector público;52862,50;$28729,62
9/08/2020;Uruguay;OmegaTech;Grandes clientes;19134,90;$15106,5
11/08/2020;México;NexTec;Sector público;17002,44;$9342
11/08/2020;México;OmegaTech;Sector público;1180623,56;$885893,58
11/08/2020;México;OmegaTech;Sector público;25343,96;$14238,18
12/08/2020;México;NexTec;Consumidores finales;1442339,33;$1395379,44
12/08/2020;Uruguay;Cybernova;Pequeñas y medianas empresas;75950,78;$69552
12/08/2020;Uruguay;Cybernova;Grandes clientes;96985,45;$74988,747
13/08/2020;Chile;OmegaTech;Sector público;52274,79;$37716,3
14/08/2020;Argentina;NeuroNet;Grandes clientes;101454,44;$76090,833
15/08/2020;Uruguay;NeuroNet;Instituciones educativas;137166,60;$103914,09
15/08/2020;Perú;OmegaTech;Instituciones educativas;14966,27;$11738,25
15/08/2020;Argentina;OmegaTech;Sector público;602741,16;$476330,4
16/08/2020;México;Cybernova;Sector público;15172,54;$12177
16/08/2020;Argentina;Cybernova;Sector público;2943,65;$2236,815
17/08/2020;Perú;NeuroNet;Sector público;60882,33;$46760,625
17/08/2020;Argentina;NeuroNet;Grandes clientes;21092,40;$15819,3
18/08/2020;Uruguay;NexTec;Pequeñas y medianas empresas;309889,80;$274725
19/08/2020;Uruguay;Innovatech;Instituciones educativas;15237,33;$10581,48
19/08/2020;México;NexTec;Consumidores finales;654630,58;$555768
20/08/2020;Chile;Cybernova;Pequeñas y medianas empresas;145535,99;$141023,25
21/08/2020;Chile;Innovatech;Pequeñas y medianas empresas;258556,54;$219861
22/08/2020;Argentina;NeuroNet;Sector público;3411,45;$2565
23/08/2020;México;Cybernova;Pequeñas y medianas empresas;1863745,20;$1688175
24/08/2020;Argentina;NeuroNet;Sector público;17361,68;$10212,75
26/08/2020;Chile;Cybernova;Sector público;2697330,98;$2329920,45
28/08/2020;Perú;Innovatech;Sector público;10839,07;$8149,68
29/08/2020;Uruguay;Cybernova;Instituciones educativas;29403,00;$19602
29/08/2020;Argentina;Innovatech;Instituciones educativas;10973,68;$7782,75
29/08/2020;Uruguay;Cybernova;Sector público;8266,10;$6709,5
29/08/2020;México;Cybernova;Sector público;41209,82;$23414,67
30/08/2020;Uruguay;NexTec;Consumidores finales;114202,21;$110484
30/08/2020;Chile;Cybernova;Sector público;37585,44;$21852
31/08/2020;Perú;NexTec;Consumidores finales;1306806,49;$1169100
2/09/2020;Perú;OmegaTech;Instituciones educativas;6196,50;$4590
2/09/2020;Argentina;Cybernova;Pequeñas y medianas empresas;1642202,99;$1382325,75
5/09/2020;Uruguay;Cybernova;Consumidores finales;223512,92;$187841,16
5/09/2020;Perú;OmegaTech;Pequeñas y medianas empresas;180449,10;$155025
6/09/2020;Argentina;NeuroNet;Instituciones educativas;134721,35;$95547,06
7/09/2020;Argentina;NexTec;Pequeñas y medianas empresas;571212,00;$553500
8/09/2020;México;NexTec;Pequeñas y medianas empresas;3043965,02;$2787513,75
9/09/2020;Chile;NeuroNet;Instituciones educativas;31945,32;$24201
9/09/2020;Uruguay;NeuroNet;Instituciones educativas;115847,82;$85813,2
9/09/2020;Uruguay;OmegaTech;Pequeñas y medianas empresas;112492,80;$100800
10/09/2020;Argentina;Innovatech;Consumidores finales;106176,20;$92988
11/09/2020;México;OmegaTech;Sector público;215460,00;$168480
11/09/2020;Perú;NexTec;Sector público;114016,26;$61965,36
12/09/2020;Argentina;Cybernova;Sector público;24023,56;$19066,32
12/09/2020;México;OmegaTech;Grandes clientes;9281,65;$8001,423
13/09/2020;Perú;NexTec;Consumidores finales;119996,83;$107352
13/09/2020;Chile;OmegaTech;Consumidores finales;174809,64;$159825,96
13/09/2020;Argentina;NexTec;Sector público;26981,64;$15687
14/09/2020;Argentina;OmegaTech;Instituciones educativas;7117,88;$4995
16/09/2020;Chile;OmegaTech;Consumidores finales;44783,65;$37260
16/09/2020;Uruguay;NeuroNet;Consumidores finales;1094095,82;$958197,6
16/09/2020;Perú;NexTec;Consumidores finales;1933865,97;$1730082,24
17/09/2020;Perú;Cybernova;Sector público;2063,88;$1620
18/09/2020;Uruguay;Cybernova;Sector público;37528,11;$30461,13
18/09/2020;Perú;Innovatech;Pequeñas y medianas empresas;862875,02;$773185,5
19/09/2020;Perú;Cybernova;Pequeñas y medianas empresas;322898,40;$305775
